	sepal-length	sepal-width	petal-length	petal-width	Class
101	5.2	3.5	1.5	0.2	0
102	4.9	3.1	1.5	0.1	0
103	5.4	3.7	1.5	0.2	0
104	4.4	2.9	1.4	0.2	0
105	6.4	3.2	5.3	2.3	2
106	6.4	2.8	5.6	2.1	2
107	6.5	3.0	5.8	2.2	2
108	6.1	3.0	4.9	1.8	2
109	6.7	2.5	5.8	1.8	2
110	5.7	2.8	4.5	1.3	1
111	5.6	2.7	4.2	1.3	1
112	6.0	2.9	4.5	1.5	1
113	5.5	2.3	4.0	1.3	1
114	5.6	3.0	4.5	1.5	1
115	5.1	3.3	1.7	0.5	0
116	5.8	4.0	1.2	0.2	0
117	4.6	3.1	1.5	0.2	0
118	5.7	4.4	1.5	0.4	0
119	4.9	3.0	1.4	0.2	0
120	6.7	3.3	5.7	2.1	2
121	6.4	2.7	5.3	1.9	2
122	5.8	2.7	5.1	1.9	2
123	6.2	3.4	5.4	2.3	2
124	6.0	3.0	4.8	1.8	2
125	5.6	2.5	3.9	1.1	1
126	4.9	2.4	3.3	1.0	1
127	5.1	2.5	3.0	1.1	1
128	6.4	3.2	4.5	1.5	1
129	5.7	3.0	4.2	1.2	1
130	4.3	3.0	1.1	0.1	0
131	5.1	3.7	1.5	0.4	0
132	4.8	3.4	1.6	0.2	0
133	4.6	3.2	1.4	0.2	0
134	4.8	3.0	1.4	0.1	0
135	6.9	3.1	5.4	2.1	2
136	7.2	3.2	6.0	1.8	2
137	7.7	3.0	6.1	2.3	2
138	7.7	2.8	6.7	2.0	2
139	6.5	3.0	5.2	2.0	2
140	5.5	2.4	3.7	1.0	1
141	5.4	3.0	4.5	1.5	1
142	6.8	2.8	4.8	1.4	1
143	6.1	2.9	4.7	1.4	1
144	6.7	3.0	5.0	1.7	1
145	5.0	3.5	1.6	0.6	0
146	5.4	3.9	1.7	0.4	0
147	5.1	3.4	1.5	0.2	0
148	5.0	3.6	1.4	0.2	0
149	5.0	3.4	1.6	0.4	0
